Item,Component ID,Component Name,Component Value,Quantity,PART,Package,Manufacturer,Digikey #,Link
1,LMK107B7105KA-T,1µF 10V Ceramic Capacitor X7R 0603,1uF,8,"C1,C2,C3,C4,C5,C10,C11,C12",C_0603,Taiyo Yuden,587-1242-1-ND,http://www.digikey.com/product-detail/en/taiyo-yuden/LMK107B7105KA-T/587-1242-1-ND/931019
2,C0603C104K8RACTU,0.10µF 10V Ceramic Capacitor X7R 0603,0.1uF,56,"C6,C13,C20,C21,C22,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C40,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C55,C56,C57,C59,C60,C61,C62,C64,C65,C67,C68,C69,C70,C71,C73,C74,C75,C76,C77,C78,C79,C80,C81,C82,C83,C84",C_0603,Kemet,399-1095-1-ND,http://www.digikey.com/product-detail/en/kemet/C0603C104K8RACTU/399-1095-1-ND/411370
3,LMK107B7225KA-T,2.2µF 10V Ceramic Capacitor X7R 0603,2.2uF,6,"C7,C8,C9,C14,C15",C_0603,Taiyo Yuden,587-2983-1-ND,http://www.digikey.com/product-detail/en/taiyo-yuden/LMK107B7225KA-T/587-2983-1-ND/2714176
4,GRM188C71E225KE11D,2.2µF 25V Ceramic Capacitor X7S 0603,2.2uF,1,C18,C_0603,Murata Electronics North America,490-12732-1-ND,http://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM188C71E225KE11D/490-12732-1-ND/5797701
5,C1608X5R1E106M080AC,10µF 25V Ceramic Capacitor X5R 0603,10uF,1,C16,C_0603,TDK Corporation,445-9015-1-ND,http://www.digikey.com/product-detail/en/tdk-corporation/C1608X5R1E106M080AC/445-9015-1-ND/3648665
6,EEE-1AA101WR,"100µF 10V Aluminum Capacitors Radial, Can - SMD 2000 Hrs @ 85°C",100uF,1,C17,C_ELEC_5x5.3,Panasonic Electronic Components,PCE3867CT-ND,http://www.digikey.com/product-detail/en/panasonic-electronic-components/EEE-1AA101WR/PCE3867CT-ND/766243
7,GRM188R61A226ME15D,22µF 10V Ceramic Capacitor X5R 0603,22uF,1,C19,C_0603,Murata Electronics North America,490-10476-1-ND,http://www.digikey.com/product-detail/en/murata-electronics-north-america/GRM188R61A226ME15D/490-10476-1-ND/5026394
8,C3216X6S1A476M160AC,47µF 10V Ceramic Capacitor X6S 1206,47uF,9,"C23,C24,C25,C26,C39,C41,C58,C63,C66",C_0603,TDK Corporation,445-6010-1-ND,http://www.digikey.com/product-detail/en/tdk-corporation/C3216X6S1A476M160AC/445-6010-1-ND/2444051
9,LT3080EDD#PBF,Linear Voltage Regulator IC Positive Adjustable 1 Output 0 V ~ 36 V 1.1A 8-DFN (3x3),LT3080,3,"IC1,IC2,IC4",DFN-8-1EP_3x3mm_Pitch0.5mm,Linear Technology,LT3080EDD#PBF-ND,http://www.digikey.com/product-search/en?keywords=LT3080EDD%23PBF-ND
10,LT3082EDD#PBF,Linear Voltage Regulator IC Positive Adjustable 1 Output 0 V ~ 38.5 V 200mA 8-DFN (3x3),LT3082,2,"IC3,IC5",DFN-8-1EP_3x3mm_Pitch0.5mm,Linear Technology,LT3082EDD#PBF-ND,http://www.digikey.com/product-search/en?keywords=LT3082EDD%23PBF-ND
11,LTM8023EV#PBF,IC BUCK SYNC ADJ 2A 50LGA,LTM8023,2,"IC6,IC7",BGA-50,Linear Technology,LTM8023EV#PBF-ND,http://www.digikey.com/product-search/en?keywords=LTM8023EV%23PBF-ND
12,20021111-00008T4LF,"8 Positions Header, Unshrouded Connector 0.050"" (1.27mm) Through Hole Gold",CONN_02X04,1,P1,Pin_Header_Straight_2x04,Amphenol FCI,609-3711-ND,http://www.digikey.com/product-search/en?keywords=609-3711-ND
13,ERJ-3EKF1803V,RES SMD 180K OHM 1% 1/10W 0603,180K,2,"R1,R8",R_0603,Panasonic Electronic Components,P180KHCT-ND,http://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-3EKF1803V/P180KHCT-ND/1746739
14,RC0603FR-07330KL,RES SMD 330K OHM 1% 1/10W 0603,330K,2,"R2,R3",R_0603,Yageo,311-330KHRCT-ND,http://www.digikey.com/product-detail/en/yageo/RC0603FR-07330KL/311-330KHRCT-ND/730110
15,5108,RES SMD 0.0 OHM JUMPER 1/2W 1206,0R,8,"R4,R5,R6,R9,R10,R17,R25,R26",R_1206,Keystone Electronics,36-5108CT-ND,http://www.digikey.com/product-detail/en/keystone-electronics/5108/36-5108CT-ND/5118857
16,RC0603FR-07300KL,RES SMD 300K OHM 1% 1/10W 0603,300K,1,R7,R_0603,Yageo,311-300KHRCT-ND,http://www.digikey.com/product-detail/en/yageo/RC0603FR-07300KL/311-300KHRCT-ND/730092
17,ESR03EZPF1002,RES SMD 10K OHM 1% 1/4W 0603,10K,8,"R11,R12,R15,R19,R20,R23,R27,R28",R_0603,Rohm Semiconductor,RHM10KADCT-ND,http://www.digikey.com/product-detail/en/rohm-semiconductor/ESR03EZPF1002/RHM10KADCT-ND/1983753
18,ERJ-PA3F8202V,RES SMD 82K OHM 1% 1/4W 0603,82K,2,"R13,R24",R_0603,Panasonic Electronic Components,P82KBYCT-ND,http://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-PA3F8202V/P82KBYCT-ND/5036226
19,ERJ-PA3F3903V,RES SMD 390K OHM 1% 1/4W 0603,390K,2,"R16,R18",R_0603,Panasonic Electronic Components,P390KBYCT-ND,http://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-PA3F3903V/P390KBYCT-ND/5036187
20,CRCW060331K6FKEAHP,RES SMD 31.6K OHM 1% 1/4W 0603,31K6,1,R21,R_0603,Vishay Dale,541-31.6KSCT-ND,http://www.digikey.com/product-detail/en/vishay-dale/CRCW060331K6FKEAHP/541-31.6KSCT-ND/5326840
21,SEAM-40-02.0-S-10-2-A-K-TR,"400 Position Connector High Density Array, Male Surface Mount Gold",FMC_CONNECTOR,1,U2,SEAF-40-XX_X-XX-10-X-A,Samtec,SAM8025CT-ND,http://www.digikey.com/product-search/en?keywords=SAM8025TR-ND
22,10-30-07-237-414T4-R27-L14,.050 [1.27] Pitch Image Sensor BGA Socket,IMAGE_SENSOR_SOCKET,1,U1,BGA,Andon,NA,http://www.andonelectronics.com/
